Brand	Mold	Type	Speed	Glide	Turn	Fade	In Prod.	Date Approved	Max Weight (gr)	Diameter (cm)	Height (cm)	Rim Depth (cm)	Inside Rim Diameter (cm)	Rim Thickness (cm)	Rim Depth / Diameter Ratio (%)	Rim Configuration	Flexibility (kg)	Certification Number
Innova-Champion Discs	Foxbat	Midrange	5.0	6.0	-1.0	0.0	Yes	2013-10-22	180.1	21.7	2.2	1.4	19.0	1.4	6.5	33.5	7.37	13-66
Innova-Champion Discs	Gator	Midrange	5.0	2.0	0.0	4.0	Yes	2000-01-21	176.0	21.2	1.9	1.4	18.6	1.3	6.6	49.5	10.32	00-04
Innova-Champion Discs	Gator3	Midrange	5.0	2.0	0.0	3.0	Yes	2018-07-10	176.0	21.2	1.8	1.4	18.2	1.5	6.6	49.5	12.03	18-59
Innova-Champion Discs	Gazelle	Midrange	6.0	4.0	0.0	2.0	Yes	1994-03-08	176.0	21.2	1.8	1.2	18.0	1.6	5.7	28.25	10.54	94-02
Innova-Champion Discs	Groove	Distance	13.0	6.0	-2.0	2.0	Yes	2008-12-05	175.1	21.1	1.7	1.2	16.3	2.4	5.7	28.0	10.21	08-37
Innova-Champion Discs	Hydra	Putter	3.0	3.0	0.0	1.0	Yes	2004-05-10	175.1	21.1	2.0	1.4	18.3	1.4	6.6	44.75	7.82	04-04
Innova-Champion Discs	Katana	Distance	13.0	5.0	-3.0	3.0	Yes	2009-10-18	176.0	21.2	1.8	1.2	16.3	2.5	5.7	26.25	10.32	09-23
Innova-Champion Discs	Kite	Midrange	5.0	6.0	-3.0	1.0	Yes	2007-02-11	176.0	21.2	1.9	1.3	17.9	1.6	6.1	36.25	9.53	07-11
Innova-Champion Discs	Krait	Distance	11.0	5.0	-1.0	2.0	Yes	2012-05-02	176.0	21.2	2.3	1.2	16.6	2.3	5.7	30.25	12.13	12-20
Innova-Champion Discs	Leopard	Midrange	6.0	5.0	-2.0	1.0	Yes	1999-05-12	176.0	21.2	1.6	1.1	18.0	1.6	5.2	29.25	7.6	99-07
Innova-Champion Discs	Leopard 3	Fairway	7.0	5.0	-2.0	1.0	Yes	2017-08-29	176.0	21.2	1.7	1.1	17.8	1.7	5.2	29.25	9.3	17-94
Innova-Champion Discs	Mako	Midrange	4.0	5.0	0.0	0.0	Yes	2009-09-18	180.1	21.7	2.1	1.4	19.3	1.2	6.5	52.75	8.96	09-22
Innova-Champion Discs	Mako 3	Midrange	5.0	5.0	0.0	0.0	Yes	2017-08-29	180.1	21.7	1.9	1.4	19.0	1.4	6.5	52.75	8.96	17-95
Innova-Champion Discs	Mamba	Distance	11.0	6.0	-5.0	1.0	Yes	2012-01-22	175.1	21.1	1.7	1.1	16.9	2.1	5.2	27.5	8.48	12-07
Innova-Champion Discs	Manta	Midrange	5.0	5.0	-2.0	1.0	Yes	2017-01-24	180.9	21.8	1.9	1.2	19.0	1.4	5.5	37.25	9.98	17-07
Innova-Champion Discs	Max	Distance	11.0	3.0	0.0	5.0	Yes	2006-09-21	176.0	21.2	1.9	1.2	16.8	2.2	5.7	34.0	10.43	06-40
Innova-Champion Discs	Mirage	Putter	3.0	4.0	-3.0	0.0	Yes	2016-03-02	176.0	21.2	1.9	1.2	19.0	1.1	5.7	50.25	6.35	16-24
Innova-Champion Discs	Monarch	Distance	10.0	5.0	-4.0	1.0	Yes	2008-06-02	175.1	21.1	1.6	1.2	17.0	2.1	5.7	30.75	10.21	08-20
Innova-Champion Discs	Monster	Distance	10.0	3.0	0.0	5.0	Yes	2003-01-26	176.0	21.2	1.4	1.2	17.2	2.0	5.7	32.25	8.85	03-03
Innova-Champion Discs	Mystere	Distance	11.0	6.0	-2.0	2.0	Yes	2015-08-25	175.1	21.1	1.6	1.1	16.9	2.1	5.2	31.5	7.26	15-65
Innova-Champion Discs	Nova	Putter	2.0	3.0	0.0	0.0	Yes	2013-09-03	176.8	21.3	2.7	1.5	19.1	1.1	7.0	59.0	4.65	13-56
Innova-Champion Discs	ORC	Distance	10.0	4.0	-1.0	3.0	Yes	2004-01-25	176.0	21.2	1.9	1.2	17.2	2.0	5.7	27.0	8.85	04-01
Innova-Champion Discs	Panther	Midrange	5.0	4.0	-2.0	1.0	Yes	1993-07-26	176.0	21.2	1.9	1.2	18.6	1.3	5.7	34.0	12.02	93-07
Innova-Champion Discs	Pig	Putter	3.0	1.0	0.0	3.0	Yes	2008-05-20	176.0	21.2	2.1	1.4	18.4	1.4	6.6	57.5	9.64	08-17
Innova-Champion Discs	Pole Cat	Putter	1.0	3.0	0.0	0.0	Yes	1994-01-05	176.8	21.3	2.3	1.6	19.9	0.7	7.5	83.25	4.2	94-01
Innova-Champion Discs	Rat	Midrange	4.0	2.0	0.0	3.0	Yes	2017-06-26	176.0	21.2	1.7	1.4	18.9	1.1	6.6	66.75	6.01	17-77
Innova-Champion Discs	Rhyno	Putter	2.0	1.0	0.0	3.0	Yes	1998-11-09	176.0	21.2	1.9	1.3	19.2	1.0	6.1	56.75	6.24	98-12
Innova-Champion Discs	Roadrunner	Fairway	9.0	5.0	-4.0	1.0	Yes	2005-08-27	175.1	21.1	1.4	1.2	17.5	1.8	5.7	29.0	8.39	05-16
Innova-Champion Discs	Roc	Midrange	4.0	4.0	0.0	3.0	Yes	1987-01-01	180.1	21.7	2.0	1.3	19.3	1.2	6.0	43.0	8.51	87-05
Innova-Champion Discs	Roc 3	Midrange	5.0	4.0	0.0	3.0	Yes	2017-08-29	180.9	21.8	2.0	1.3	19.0	1.4	6.0	43.0	7.94	17-96
Innova-Champion Discs	RocX3	Midrange	5.0	4.0	0.0	3.5	Yes	2017-02-22	180.9	21.8	2.0	1.4	19.0	1.4	6.4	49.75	9.07	17-17
Innova-Champion Discs	Savant	Fairway	9.0	5.0	-1.0	2.0	Yes	2014-09-05	175.1	21.1	1.6	1.1	17.2	1.9	5.2	36.5	6.24	14-71
Innova-Champion Discs	Shark	Midrange	4.0	4.0	0.0	2.0	Yes	1989-01-01	180.1	21.7	2.1	1.3	19.3	1.2	6.0	39.5	11.32	89-06
Innova-Champion Discs	Shark 3	Midrange	5.0	4.0	0.0	2.0	Yes	2017-08-29	180.9	21.8	2.0	1.3	19.0	1.4	6.0	39.5	8.28	17-97
Innova-Champion Discs	Shryke	Distance	13.0	6.0	-2.0	2.0	Yes	2016-11-14	175.1	21.1	1.7	1.2	16.4	2.3	5.7	26.0	10.32	16-71
Innova-Champion Discs	Sidewinder	Fairway	9.0	5.0	-3.0	1.0	Yes	2004-11-24	175.1	21.1	1.4	1.2	17.5	1.8	5.7	28.0	10.43	04-13
Innova-Champion Discs	Skeeter	Midrange	5.0	5.0	-1.0	1.0	Yes	2006-07-08	176.0	21.2	1.9	1.3	18.7	1.3	6.1	43.25	9.07	06-28
Innova-Champion Discs	Sonic	Putter	1.0	2.0	-4.0	0.0	Yes	2007-09-19	179.3	21.6	2.3	1.6	20.4	0.6	7.4	82.0	3.97	07-43
Innova-Champion Discs	Spider	Midrange	5.0	3.0	0.0	1.0	Yes	2001-01-19	176.0	21.2	1.7	1.4	18.6	1.3	6.6	45.0	7.82	01-02
Innova-Champion Discs	Starfire	Distance	10.0	4.0	0.0	3.0	Yes	2003-05-08	176.0	21.2	1.4	1.1	17.2	2.0	5.2	29.0	7.71	03-09
Innova-Champion Discs	Starfire L (SL)	Distance	10.0	4.0	0.0	3.0	Yes	2007-06-21	175.1	21.1	1.7	1.1	17.1	2.0	5.2	29.0	9.41	07-35
Innova-Champion Discs	Stingray	Midrange	4.0	5.0	-3.0	1.0	Yes	1987-01-01	180.1	21.7	1.8	1.1	19.3	1.2	5.1	38.25	9.1	87-08
Innova-Champion Discs	Stud	Putter	3.0	3.0	0.0	2.0	Yes	2016-01-20	176.0	21.2	1.9	1.3	18.9	1.1	6.1	69.5	11.11	16-07
Innova-Champion Discs	TeeBird	Fairway	7.0	5.0	0.0	2.0	Yes	1999-05-03	176.0	21.2	1.5	1.1	17.8	1.7	5.2	29.25	7.83	99-06
Innova-Champion Discs	Teebird 3	Fairway	8.0	4.0	0.0	2.0	Yes	2017-08-29	176.0	21.2	1.7	1.1	17.5	1.8	5.2	29.25	9.41	17-98
Innova-Champion Discs	TeeBird L (TL)	Fairway	7.0	5.0	0.0	1.0	Yes	2007-03-08	175.1	21.1	1.6	1.2	17.5	1.8	5.7	33.0	12.25	07-17
Innova-Champion Discs	TeeDevil	Distance	12.0	5.0	-1.0	2.0	Yes	2011-08-14	176.0	21.2	1.6	1.2	16.4	2.4	5.7	28.5	11.79	11-37
Innova-Champion Discs	Tee-Rex	Distance	11.0	4.0	0.0	4.0	Yes	2006-03-06	175.1	21.1	1.7	1.2	16.8	2.2	5.7	30.0	10.21	06-11
Innova-Champion Discs	Tern	Distance	12.0	6.0	-3.0	2.0	Yes	2012-12-03	175.1	21.1	1.7	1.1	16.6	2.3	5.2	28.5	11.91	12-55
Innova-Champion Discs	TL 3	Fairway	8.0	4.0	0.0	1.0	Yes	2017-08-29	176.0	21.2	1.7	1.1	17.6	1.8	5.2	33.0	7.48	17-99
Innova-Champion Discs	Thunderbird	Fairway	9.0	5.0	0.0	2.0	Yes	2014-08-05	176.0	21.2	1.6	1.1	17.3	1.9	5.2	31.0	6.46	14-63
Innova-Champion Discs	Valkyrie	Fairway	9.0	4.0	-2.0	2.0	Yes	2000-08-28	175.1	21.1	1.4	1.2	17.3	1.9	5.7	26.0	8.05	00-09
